state,name,page,party
Alabama,Tommy Tuberville,Tommy_Tuberville,Republican
Alabama,Katie Britt,Katie_Britt,Republican
Alaska,Lisa Murkowski,Lisa_Murkowski,Republican
Alaska,Dan Sullivan,Dan_Sullivan_(U.S._senator),Republican
Arizona,Mark Kelly,Mark_Kelly,Democratic
Arizona,Ruben Gallego,Ruben_Gallego,Democratic
Arkansas,John Boozman,John_Boozman,Republican
Arkansas,Tom Cotton,Tom_Cotton,Republican
California,Alex Padilla,Alex_Padilla,Democratic
California,Adam Schiff,Adam_Schiff,Democratic
Colorado,Michael Bennet,Michael_Bennet,Democratic
Colorado,John Hickenlooper,John_Hickenlooper,Democratic
Connecticut,Chris Murphy,Chris_Murphy,Democratic
Connecticut,Richard Blumenthal,Richard Blumenthal,Democratic
Delaware,Chris Coons,Chris_Coons,Democratic
Delaware,Lisa Blunt Rochester ,Lisa_Blunt_Rochester ,Democratic
Florida,Rick Scott,Rick_Scott,Republican
Florida,Ashley Moody,Ashley_Moody,Republican
Georgia,Jon Ossoff,Jon_Ossoff,Democratic
Georgia,Raphael Warnock,Raphael_Warnock,Democratic
Hawaii,Brian Schatz,Brian_Schatz,Democratic
Hawaii,Mazie Hirono,Mazie_Hirono,Democratic
Idaho,Mike Crapo,Mike_Crapo,Republican
Idaho,Jim Risch,Jim_Risch,Republican
Illinois,Dick Durban,Dick_Durbin,Democratic
Illinois,Tammy Duckworth,Tammy_Duckworth,Democratic
Indiana,Todd Young,Todd_Young,Republican
Indiana,Jim Banks,Jim_Banks,Republican
Iowa,Chuck Grassley,Chuck_Grassley,Republican
Iowa,Joni Ernst,Joni_Ernst,Republican
Kansas,Jerry Moran,Jerry_Moran,Republican
Kansas,Roger Marshall,Roger_Marshall,Republican
Kentucky,Mitch McConnell,Mitch_McConnell,Republican
Kentucky,Rand Paul,Rand_Paul,Republican
Louisiana,Bill Cassidy,Bill_Cassidy,Republican
Louisiana,John Kennedy,John_Kennedy_(Louisiana_politician),Republican
Maine,Susan Collins,Susan_Collins,Republican
Maine,Angus King,Angus_King,Independent
Maryland,Chris Van Hollen,Chris_Van_Hollen,Democratic
Maryland,Angela Alsobrooks,Angela_Alsobrooks,Democratic
Massachusetts,Elizabeth Warren,Elizabeth_Warren,Democratic
Massachusetts,Ed Markey,Ed_Markey,Democratic
Michigan,Lucius Lyon,Lucius_Lyon,Democratic
Michigan,John Norvell,John_Norvell,Democratic
Minnesota,Amy Klobuchar,Amy_Klobuchar,Democratic
Minnesota,Tina Smith,Tina_Smith,Democratic
Mississippi,Roger Wicker,Roger_Wicker,Republican
Mississippi,Cindy Hyde-Smith,Cindy_Hyde-Smith,Republican
Missouri,Josh Hawley,Josh_Hawley,Republican
Missouri,Eric Schmitt,Eric_Schmitt,Republican
Montana,Steve Daines,Steve_Daines,Republican
Montana,Tim Sheehy,Tim_Sheehy,Republican
Nebraska,Deb Fischer,Deb_Fischer,Republican
Nebraska,Pete Ricketts,Pete_Ricketts,Republican
Nevada,Catherine Cortez Masto,Catherine_Cortez_Masto,Democratic
Nevada,Jacky Rosen,Jacky_Rosen,Democratic
New Hampshire,Jeanne Shaheen,Jeanne_Shaheen,Democratic
New Hampshire,Maggie Hassan,Maggie_Hassan,Democratic
New Jersey,Cory Booker,Cory_Booker,Democratic
New Jersey,Andy Kim,Andy_Kim,Democratic
New Mexico,Martin Heinrich,Martin_Heinrich,Democratic
New Mexico,Ben Ray Luján,Ben_Ray_Luján,Democratic
New York,Chuck Schumer,Chuck_Schumer,Democratic
New York,Kirsten Gillibrand,Kirsten_Gillibrand,Democratic
North Carolina,Thom Tillis,Thom_Tillis,Republican
North Carolina,Ted Budd,Ted_Budd,Republican
North Dakota,Lyman R. Casey,Lyman_R._Casey,Republican
North Dakota,Gilbert A. Pierce,Gilbert_A._Pierce,Republican
Ohio,Bernie Moreno,Bernie_Moreno,Republican
Ohio,Jon Husted,Jon_Husted,Republican
Oklahoma,James Lankford,James_Lankford,Republican
Oklahoma,Markwayne Mullin,Markwayne_Mullin,Republican
Oregon,Ron Wyden,Ron_Wyden,Democratic
Oregon,Jeff Merkley,Jeff_Merkley,Democratic
Pennsylvania,John Fettermen,John_Fetterman,Democratic
Pennsylvania,Dave McCormick,Dave_McCormick,Republican
Rhode Island,Jack Reed,Jack_Reed_(Rhode_Island_politician),Democratic
Rhode Island,Sheldon Whitehouse,Sheldon_Whitehouse,Democratic
South Carolina,Lindsey Graham,Lindsey_Graham,Republican
South Carolina,Tim Scott,Tim_Scott,Republican
South Dakota,John Thune,John_Thune,Republican
South Dakota,Mike Rounds,Mike_Rounds,Republican
Tennessee,Marsha Blackburn,Marsha_Blackburn,Republican
Tennessee,Bill Hagerty,Bill_Hagerty,Republican
Texas,John Cornyn,John_Cornyn,Republican
Texas,Ted Cruz,Ted_Cruz,Republican
Utah,Mike Lee,Mike_Lee,Republican
Utah,John Curtis,John_Curtis,Republican
Vermont,Bernie Sanders,Bernie_Sanders,Independent
Vermont,Peter Welch,Peter_Welch,Democratic
Virginia,Mark Warner,Mark_Warner,Democratic
Virginia,Tim Kaine,Tim_Kaine,Democratic
Washington,Patty Murray,Patty_Murray,Democratic
Washington,Maria Cantwell,Maria_Cantwell,Democratic
West Virginia,Shelley Moore Capito,Shelley_Moore_Capito,Republican
West Virginia,Jim Justice,Jim_Justice,Republican
Wisconsin,Ron Johnson,Ron_Johnson,Republican
Wisconsin,Tammy Baldwin,Tammy_Baldwin,Democratic
Wyoming,John Barrasso,John_Barrasso,Republican
Wyoming,Cynthia Lummis,Cynthia_Lummis,Republican
